model,dataset,boundary_shift_pixels,boundary_shift_percent,too_thin_pixels,too_thin_percent,missed_vessel_pixels,missed_vessel_percent,too_thick_pixels,too_thick_percent,extra_vessel_pixels,extra_vessel_percent
DCP_1024,AFIO,527604,8.367978924779958,1341580,21.27791519000291,4089980,64.86847416390235,203,0.0032196490582526503,345668,5.482412072256538
FR-UNet,AFIO,838001,13.944831781931047,773442,12.870531876549448,3629895,60.403597562619375,14858,0.24724589900958532,753206,12.533792879890544
FSG-Net,AFIO,766581,14.064901238681381,963546,17.67873105246085,3046592,55.897570634488446,12805,0.23494067862537044,660788,12.12385639574395
GAVE,AFIO,765131,12.195559695491555,799138,12.73760334365714,3758996,59.91530876818999,12112,0.19305533174292208,938472,14.958472860918393
SA-UNetv2,AFIO,871988,16.36756040032,726371,13.634271590366883,2974297,55.828733647699934,19997,0.37535161645022525,734885,13.794082745162962
DCP_1024,CHASEDB1,141763,23.49718805474384,0,0.0,118283,19.60538289031176,174316,28.892841100644933,168957,28.004587954299467
FR-UNet,CHASEDB1,163939,21.1232743980848,0,0.0,158237,20.38858094126318,183255,23.61210968604804,270675,34.87603497460398
FSG-Net,CHASEDB1,96822,12.436754590470319,0,0.0,150177,19.29018708695401,282233,36.252737583733136,249283,32.02032073884254
GAVE,CHASEDB1,129646,15.172342768602054,0,0.0,230264,26.947567493554626,185778,21.741415044547093,308801,36.138674693296224
SA-UNetv2,CHASEDB1,115509,15.777439336716226,0,0.0,117853,16.09760761628979,255167,34.85340417830532,243586,33.27154886868866
DCP_1024,DualModal2019,89586,7.975059800040416,0,0.0,50309,4.47857124417022,554147,49.33087159838587,429285,38.2154973574035
FR-UNet,DualModal2019,69688,5.18984164906012,0,0.0,46104,3.4334815088432404,667457,49.707211249522445,559528,41.6694655925742
FSG-Net,DualModal2019,43713,3.150936133588793,0,0.0,35486,2.5579145708720956,738811,53.25523930622172,569292,41.035909989317396
GAVE,DualModal2019,54855,3.2375361791938353,0,0.0,69202,4.084294570642089,717220,42.33024698644431,853067,50.34792226371977
SA-UNetv2,DualModal2019,56418,4.3903794209816525,0,0.0,34772,2.7059143044130245,686129,53.393715511693436,507718,39.50999076291188
DCP_1024,HRF,1577418,12.546718574205071,64136,0.510135133791561,4594160,36.54176166676808,1631649,12.978069741110556,4704992,37.423314884124736
FR-UNet,HRF,1456938,7.987762906309752,0,0.0,5312852,29.12807692044107,2194738,12.03280220947525,9275097,50.85135796377393
FSG-Net,HRF,1255833,9.705180620350157,9194,0.07105198750430937,3167614,24.479581286325367,2765947,21.375465703891884,5741233,44.36872040192828
GAVE,HRF,1842708,17.10852431981911,218034,2.024325064821686,3905152,36.25717583284505,1175331,10.912298094617983,3629476,33.69767668789617
SA-UNetv2,HRF,725008,4.216282311704509,0,0.0,3250306,18.902146866554624,3998918,23.25569818451213,9221201,53.62587263722873
DCP_1024,LES,195918,18.285775086030448,0,0.0,289451,27.015567147615833,220111,20.543800161094172,365943,34.15485760525955
FR-UNet,LES,290149,24.172717850965913,26718,2.225913842688092,589292,49.09473838555847,21013,1.7506223361181557,273144,22.75600758466937
FSG-Net,LES,143683,11.547499835245821,0,0.0,226812,18.22840233452653,362089,29.10032966909324,511694,41.12376816113441
GAVE,LES,177632,13.139501425038816,0,0.0,342219,25.314059618623663,299146,22.127934681221074,532896,39.41850427511645
SA-UNetv2,LES,138791,11.356447001719943,0,0.0,220290,18.0250283520465,377483,30.887202221687637,485570,39.731322424545915
DCP_1024,STARE,66317,38.349042965361704,48432,28.006707916498005,32631,18.869484762620715,936,0.5412594691493668,24614,14.233504886370207
FR-UNet,STARE,87607,40.08923259964307,16939,7.751338488994646,41847,19.149315883402735,26221,11.99881023200476,45916,21.011302795954787
FSG-Net,STARE,54223,31.926118264945035,15927,9.377704767456239,18531,10.910921519792273,37551,22.109762775334286,43607,25.675492672472163
GAVE,STARE,53385,15.118090167648392,4108,1.1633439057544177,31748,8.990711372904395,96806,27.41447666515632,167073,47.31337788853647
SA-UNetv2,STARE,54242,23.886841143390626,8055,3.547223653442194,14711,6.47836215590169,59799,26.334007107658568,90272,39.75356593960692
