model,dataset,n,mean_f1,sd_f1,mean_sensitivity,sd_sensitivity,mean_precision,sd_precision,mean_iou,sd_iou,mean_tvs,sd_tvs,mean_cldice,sd_cldice,mean_sf1,sd_sf1
DCP_1024,AFIO,99,0.6358014183376061,0.037808062515108105,0.505458594182645,0.0506454216129768,0.8675814805111379,0.05878389036415609,0.46716236148920925,0.04013339826703747,0.4324827999332788,0.22717542287878317,0.704284943234,0.0,0.63066589951,0.0
DCP_1024,CHASEDB1,28,0.8098424087605715,0.026001216249541787,0.8616523622480201,0.024815527409492572,0.7663574491616435,0.05149227393811098,0.6812192199074975,0.03653464744783305,0.5126162789089286,0.0821327134161546,0.838788179818,0.0,0.825083329505,0.0
DCP_1024,DualModal2019,30,0.7532837862369334,0.04291799092575222,0.930652908963649,0.016972643361361076,0.6349244258905666,0.05923309459936422,0.6060281661783286,0.054537965557073256,0.7518325356905666,0.055290885516356705,0.825274280005,0.0,0.862923821384,0.0
DCP_1024,HRF,45,0.7543087832260666,0.04074596176925913,0.7831816148068775,0.04221935831497158,0.7343521753600254,0.08253523921835006,0.607235029387764,0.053210908284923406,0.39563632683324446,0.08573639367131533,0.753632519533,0.0,0.535952697705,0.0
DCP_1024,LES,22,0.8272003658226363,0.027675210903183367,0.867247907020192,0.031616532360372825,0.793297387789501,0.0516236379455598,0.7062057643332463,0.039291671507835926,0.5125700464695909,0.13126178793904125,0.850406956004,0.0,0.749094127565,0.0
DCP_1024,STARE,20,0.80346183585165,0.02999671637190249,0.76973928717517,0.04906140298626355,0.8427777819898622,0.03281704902698046,0.6724660300974737,0.0410527210182598,0.4832018723568,0.3009909671470762,0.856868007275,0.0,0.913478653801,0.0
FR-UNet,AFIO,99,0.6592671446773737,0.03297161471095419,0.5637168272432297,0.04597731138923398,0.8013107249762625,0.05917911915312833,0.4925907120687199,0.03574621015317209,0.49018649831002425,0.23577150300467,0.712854387898,0.0,0.587255789659,0.0
FR-UNet,CHASEDB1,28,0.7640663646281428,0.02940168205113515,0.8281041325056134,0.030830330200260984,0.7121329399970662,0.05395455254264596,0.6190881014605495,0.038295252137979297,0.44495181480939283,0.0711781924579646,0.779255900231,0.0,0.77504123881,0.0
FR-UNet,DualModal2019,30,0.7264840392160666,0.04463415447696085,0.9421951144457454,0.024855902838817296,0.5930518994390339,0.055611895689758814,0.5722900335580863,0.05418399440950836,0.8173309662030667,0.04089615602929489,0.829307209553,0.0,0.874190567697,0.0
FR-UNet,HRF,45,0.6833247814796667,0.04105725109268935,0.763171655631801,0.04373530615204037,0.6237268291414655,0.06976401431660924,0.5204447684335797,0.048148225247113055,0.35406940546597776,0.09656275676326778,0.685255386999,0.0,0.344911209197,0.0
FR-UNet,LES,22,0.7804483296390909,0.02810934709451706,0.7485086226176993,0.03542167376375632,0.8174422782217152,0.04307396290076332,0.640753631476251,0.03668004917851677,0.29284439574065907,0.10342885847957296,0.789773388901,0.0,0.650763827649,0.0
FR-UNet,STARE,20,0.7583998293312,0.04714096492210681,0.7655911127779493,0.09420682374146662,0.7622909665365972,0.04667582257946943,0.6129173564923767,0.058077569965593004,0.42425269741235,0.2814270663272384,0.803756773325,0.0,0.893726694054,0.0
FSG-Net,AFIO,99,0.6954058190782323,0.031593524170159024,0.604613615756127,0.05047932237726301,0.8273111206909953,0.06374270717978887,0.5339192883142455,0.03653978584969989,0.5090095922496182,0.21782328690373173,0.76668030923,0.0,0.662702036173,0.0
FSG-Net,CHASEDB1,28,0.7857485963315,0.03149303449616321,0.8708933622506028,0.041358758959568004,0.7198286021376472,0.05946440268507115,0.6481672754311151,0.042480099030517124,0.5729482422685357,0.07823145014326809,0.82784361758,0.0,0.807800083866,0.0
FSG-Net,DualModal2019,30,0.7280470991884667,0.04628571637343453,0.9606688993005466,0.01401195228340826,0.5883689388629487,0.058772015301451444,0.5743609329331132,0.05619999946494433,0.8439738330914,0.042906973097840403,0.835705089725,0.0,0.872331050712,0.0
FSG-Net,HRF,45,0.7673946442840889,0.0458010544139538,0.8454540056003603,0.03651220896299661,0.7082938706728394,0.08290554122033242,0.6248034635150933,0.06125274204282418,0.5337726036426,0.08905582264102183,0.791472218185,0.0,0.632820444167,0.0
FSG-Net,LES,22,0.8193138777441363,0.04322745787059109,0.8979995989858752,0.026183624603687044,0.7562889553402299,0.06497785986043708,0.6959223849503332,0.05708153233774194,0.6255787653268636,0.1295517850362582,0.859533082772,0.0,0.77144528866,0.0
FSG-Net,STARE,20,0.8296449824408,0.02908660696623364,0.860965524872833,0.06172463329528138,0.8044519096969123,0.0407637394125851,0.7098648461064059,0.0415974412940276,0.60534841512625,0.36716623356842076,0.870529334532,0.0,0.90932220518,0.0
GAVE,AFIO,99,0.6460747829174748,0.04728864777487563,0.5511784400560301,0.0642440361876261,0.7894368145757138,0.05219667381139589,0.4789196155690593,0.05017867453143528,0.43957360688685354,0.208656400375375,0.683671359806,0.0,0.605839176621,0.0
GAVE,CHASEDB1,28,0.7519414322631786,0.028753550695502093,0.8084866397155716,0.05177165514117563,0.7082772067076085,0.058161879490998956,0.6033088170324217,0.03691825360485396,0.34887186825242855,0.08810566145981558,0.747914260854,0.0,0.728829726856,0.0
GAVE,DualModal2019,30,0.6812988242099334,0.04310208432847791,0.9380080803888584,0.02439390882523567,0.5367262469078129,0.05187692483526715,0.5182056163443833,0.04945278420599389,0.7318521186344,0.07297984668617388,0.786014266804,0.0,0.817659992235,0.0
GAVE,HRF,45,0.7770171326018445,0.03790866238775065,0.7915174809869938,0.0418993171782279,0.7690886510094611,0.07686260786900072,0.6368862618906068,0.0508642056164059,0.4500969079873333,0.1005839881309172,0.765541569149,0.0,0.706013021441,0.0
GAVE,LES,22,0.7955336883930909,0.029548692183495186,0.8508768940789646,0.049232830073628976,0.7485643288308488,0.031465737322687544,0.6614274340613621,0.040197539361185024,0.5214851462214546,0.11263319237387243,0.817080696689,0.0,0.755787186184,0.0
