"model","dataset","image_id","threshold","threshold_source","f1","sensitivity","precision","iou","mcc","tvs","cldice","sf1","missed_burden","extra_burden","boundary_shift_burden","too_thin_burden","too_thick_burden","params_m","gflops","checkpoint_mb","peak_vram_gb","latency_ms","fps","code_available","weights_available","hardware","input_size","evidence_tier"
"DCP_1024","AFIO","dataset_summary","0.45","diagnostic_test_set_scan_equal_dataset_macro_F1","0.648185","0.524308","0.858897","0.480562","0.649296","0.456523","0.716012","0.633822","0","0","0","0","0","","","","","","","","","","","local_dataset_summary_from_1220_perimage_rows"
"DCP_1024","CHASEDB1","dataset_summary","0.45","diagnostic_test_set_scan_equal_dataset_macro_F1","0.807343","0.872972","0.753233","0.677766","0.795286","0.539751","0.840761","0.825631","0","0","0","0","0","","","","","","","","","","","local_dataset_summary_from_1220_perimage_rows"
"DCP_1024","DualModal2019","dataset_summary","0.45","diagnostic_test_set_scan_equal_dataset_macro_F1","0.745952","0.938003","0.621291","0.596634","0.744034","0.774747","0.824156","0.860214","0","0","0","0","0","","","","","","","","","","","local_dataset_summary_from_1220_perimage_rows"
"DCP_1024","HRF","dataset_summary","0.45","diagnostic_test_set_scan_equal_dataset_macro_F1","0.753334","0.801966","0.716665","0.606188","0.735408","0.42776","0.762281","0.540422","0","0","0","0","0","","","","","","","","","","","local_dataset_summary_from_1220_perimage_rows"
"DCP_1024","LES","dataset_summary","0.45","diagnostic_test_set_scan_equal_dataset_macro_F1","0.824729","0.877284","0.780638","0.702682","0.814091","0.535951","0.852289","0.747194","0","0","0","0","0","","","","","","","","","","","local_dataset_summary_from_1220_perimage_rows"
"DCP_1024","STARE","dataset_summary","0.45","diagnostic_test_set_scan_equal_dataset_macro_F1","0.805432","0.789161","0.824687","0.675131","0.790826","0.516922","0.856622","0.909958","0","0","0","0","0","","","","","","","","","","","local_dataset_summary_from_1220_perimage_rows"
"FRUnet","AFIO","dataset_summary","0.5","diagnostic_test_set_scan_equal_dataset_macro_F1","0.658894","0.562988","0.801698","0.492176","0.648039","0.489298","0.71241","0.587155","0","0","0","0","0","","","","","","","","","","","local_dataset_summary_from_1220_perimage_rows"
"FRUnet","CHASEDB1","dataset_summary","0.5","diagnostic_test_set_scan_equal_dataset_macro_F1","0.76416","0.827449","0.712781","0.619208","0.748771","0.443535","0.77881","0.775048","0","0","0","0","0","","","","","","","","","","","local_dataset_summary_from_1220_perimage_rows"
"FRUnet","DualModal2019","dataset_summary","0.5","diagnostic_test_set_scan_equal_dataset_macro_F1","0.726677","0.942045","0.593368","0.572528","0.726789","0.816907","0.829345","0.874235","0","0","0","0","0","","","","","","","","","","","local_dataset_summary_from_1220_perimage_rows"
"FRUnet","HRF","dataset_summary","0.5","diagnostic_test_set_scan_equal_dataset_macro_F1","0.683407","0.762567","0.62427","0.520537","0.660295","0.353327","0.684922","0.344753","0","0","0","0","0","","","","","","","","","","","local_dataset_summary_from_1220_perimage_rows"
