Model,ModelFolder,Dataset,Image,Threshold,threshold_source,TP,FP,FN,TN,Sensitivity,Precision,F1,IoU,MCC,GTPath,PredictionPath,ProbabilityPath
DCP_1024,DCP_1024,AFIO,IM000001,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,71069,5559,73699,1353673,0.4909165008841733,0.927454716291695,0.6420079856907984,0.47276271062417263,0.6529728618884807,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000001.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000001.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM000001_prob.png
DCP_1024,DCP_1024,AFIO,IM000004,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,57673,14743,29817,1401767,0.6591953366098983,0.7964123950508175,0.7213362850674772,0.564132912073401,0.7093584200073983,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000004.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000004.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM000004_prob.png
DCP_1024,DCP_1024,AFIO,IM000023,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,37287,17340,26255,1423118,0.5868087249378364,0.6825745510461859,0.631079217053542,0.4610049207487451,0.617990421385335,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000023.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000023.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM000023_prob.png
DCP_1024,DCP_1024,AFIO,IM000024,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,42909,14518,32736,1413837,0.5672417211976998,0.7471920873456737,0.6448990020440063,0.47590475028559387,0.6353245428346661,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000024.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000024.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM000024_prob.png
DCP_1024,DCP_1024,AFIO,IM000135,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,76878,8576,74369,1344177,0.5082943793926491,0.8996419126079528,0.6495790047359327,0.48101962796343456,0.6521226212895715,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000135.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000135.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM000135_prob.png
DCP_1024,DCP_1024,AFIO,IM000136,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,78049,5228,82170,1338553,0.4871394778397069,0.9372215617757604,0.6410700791799455,0.47174623897683243,0.6518909407619083,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000136.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000136.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM000136_prob.png
DCP_1024,DCP_1024,AFIO,IM000167,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,60054,10248,43732,1389966,0.5786329562754129,0.8542288981821285,0.6899269335048941,0.5266324078783521,0.6860074602294102,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000167.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000167.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM000167_prob.png
DCP_1024,DCP_1024,AFIO,IM000168,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,69728,13023,47620,1373629,0.594198452466169,0.8426242583171201,0.6969350171665026,0.5348428714974957,0.6878793384517514,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000168.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000168.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM000168_prob.png
DCP_1024,DCP_1024,AFIO,IM000189,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,66213,12854,53603,1371330,0.5526223542765574,0.8374290158979094,0.6658487653545049,0.4990804251149469,0.6592163384226778,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000189.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000189.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM000189_prob.png
DCP_1024,DCP_1024,AFIO,IM000209,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,51989,8768,33790,1409453,0.6060807423728418,0.8556874105041394,0.7095730741933723,0.5498746655102753,0.7065977033211852,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000209.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000209.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM000209_prob.png
DCP_1024,DCP_1024,AFIO,IM000210,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,61639,9058,51470,1381833,0.5449522142358256,0.8718757514463131,0.6706962775970317,0.5045470544418705,0.6709077682882164,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000210.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000210.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM000210_prob.png
DCP_1024,DCP_1024,AFIO,IM000333,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,57723,7233,61607,1377437,0.483725802396715,0.8886476999815259,0.6264501915500906,0.4560811611608448,0.6361876073079721,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000333.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000333.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM000333_prob.png
DCP_1024,DCP_1024,AFIO,IM000389,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,49100,8619,49907,1396374,0.49592453058874625,0.8506730885843483,0.6265712134553296,0.456209466114136,0.632257788482242,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000389.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000389.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM000389_prob.png
DCP_1024,DCP_1024,AFIO,IM000390,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,62637,11658,58017,1371688,0.5191456561738526,0.8430849989905108,0.64259883354108,0.4734037729004172,0.6401984947767632,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000390.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000390.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM000390_prob.png
DCP_1024,DCP_1024,AFIO,IM000678,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,55522,11899,38556,1398023,0.5901698590531261,0.823511962148292,0.6875832048495656,0.5239061305755023,0.6807708926486217,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000678.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000678.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM000678_prob.png
DCP_1024,DCP_1024,AFIO,IM000679,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,53568,16082,45365,1388985,0.5414573499236858,0.769102656137832,0.6355089184555976,0.4657479459200974,0.6251962700690364,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000679.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000679.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM000679_prob.png
DCP_1024,DCP_1024,AFIO,IM000715,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,43104,18516,25061,1417319,0.6323479791681949,0.6995131450827653,0.6642370073583234,0.4972716050806982,0.6500401728686199,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000715.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000715.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM000715_prob.png
DCP_1024,DCP_1024,AFIO,IM000716,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,34589,19814,27713,1421884,0.5551828191711341,0.6357921438155985,0.5927595218713851,0.42122119927906865,0.5778336838687509,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000716.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000716.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM000716_prob.png
DCP_1024,DCP_1024,AFIO,IM000938,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,43971,14790,32321,1412918,0.5763513867771195,0.748302445499566,0.6511665790467447,0.48276278518258275,0.6409957652968693,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000938.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM000938.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM000938_prob.png
DCP_1024,DCP_1024,AFIO,IM001031,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,54358,15343,37767,1396532,0.5900461329715061,0.7798740333711137,0.6718079912992968,0.5058063795734544,0.6606331261138642,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001031.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001031.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001031_prob.png
DCP_1024,DCP_1024,AFIO,IM001032,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,54358,15343,37767,1396532,0.5900461329715061,0.7798740333711137,0.6718079912992968,0.5058063795734544,0.6606331261138642,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001032.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001032.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001032_prob.png
