Model,Dataset,Boundary shift,Boundary shift_percent,Too thin,Too thin_percent,Missed vessel,Missed vessel_percent,Too thick,Too thick_percent,Extra vessel,Extra vessel_percent
DCP_1024,AFIO,578574,9.43853064218172,1262787,20.60039648177887,3890524,63.467819134878845,627,0.01022852515434143,397404,6.483025216006223
DCP_1024,CHASEDB1,129590,20.33080904351537,0,0.0,109153,17.124537383492807,208137,32.65370477575552,190527,29.890948797236305
DCP_1024,DualModal2019,80011,6.714991171000598,0,0.0,44930,3.7707884330036725,593427,49.80386528893991,473160,39.71035510705581
DCP_1024,HRF,1460570,11.155689296902175,28909,0.22080408462733384,4201419,32.09002305271328,2026989,15.481941633908983,5374715,41.05154193184823
DCP_1024,LES,178659,15.887522187165414,0,0.0,270452,24.05035374967542,266866,23.731463268013844,408547,36.33066079514533
DCP_1024,STARE,71046,41.46274562442734,36325,21.199423399027715,27561,16.0847159890049,5005,2.920939135915588,31412,18.332175851624463
FRUnet,AFIO,835684,13.894513731756764,778122,12.937458194702826,3636369,60.4601488172977,14572,0.24228159699020152,749742,12.465597659252516
FRUnet,CHASEDB1,164698,21.27543039026098,0,0.0,158710,20.5019099032066,181532,23.450020216425553,269183,34.77263949010687
FRUnet,DualModal2019,69881,5.211196604269421,0,0.0,46213,3.446216119876687,666585,49.708869198450685,558299,41.63371807740321
FRUnet,HRF,1461706,8.026162866357936,0,0.0,5325360,29.24131575158609,2183023,11.986882546151758,9241677,50.74563883590422
FRUnet,LES,206163,14.592232453088736,0,0.0,400938,28.378421420315437,252642,17.88201952539129,553084,39.14732660120453
FRUnet,STARE,87708,40.18823055034984,17113,7.841259513478096,41940,19.217111201733847,25778,11.81160449590594,45704,20.941794238532278
FSG-Net-HRF,AFIO,638270,11.251681970178733,1095252,19.307545680044804,3524748,62.13568477450537,5461,0.09626871894205596,408932,7.208818856329029
FSG-Net-HRF,CHASEDB1,102643,14.391814964582364,0,0.0,192759,27.02718997650041,232920,32.6582576654085,184882,25.922737393508726
FSG-Net-HRF,DualModal2019,41107,3.010286690134605,0,0.0,68739,5.03379222013678,743935,54.47874154828344,511770,37.477179541445174
FSG-Net-HRF,HRF,1586174,16.024824640364997,152842,1.5441346584187272,3820994,38.60280070275191,1439184,14.539811663297378,2899036,29.288428335166994
FSG-Net-HRF,LES,166994,16.054521961836933,0,0.0,283649,27.269537228601532,261740,25.163242860768648,327785,31.51269794879289
FSG-Net-HRF,STARE,49200,29.02449384114399,56579,33.37757798857898,32639,19.254684034168672,5049,2.9785501911369106,26045,15.364693944971448
GAVE,AFIO,709514,11.524059715378396,571352,9.280006548850167,4279940,69.51558973922518,22513,0.3656603765004127,573487,9.314683620045848
GAVE,CHASEDB1,114703,14.226905139908713,0,0.0,327480,40.618178209962295,166061,20.596968644572335,197996,24.557948005556657
GAVE,DualModal2019,47068,3.0583118207117654,0,0.0,114299,7.426743919340827,690747,44.882291901529484,686905,44.63265235841793
GAVE,HRF,1586058,14.501616148760293,60378,0.5520470120448616,4198093,38.38392621379392,1550263,14.174335967301058,3542320,32.38807465809987
GAVE,LES,154098,11.941906250557,0,0.0,443522,34.37097265415217,304506,23.597853993770908,388271,30.08926710151992
GAVE,STARE,59414,28.424487140232703,8522,4.077043784445805,62250,29.781269136558482,43954,21.028207287201468,34884,16.688992651561545
SA-UNnetv2,AFIO,680917,11.699251019213165,1131053,19.4333126695825,3498032,60.10182509944716,2661,0.045720266878527385,507513,8.719890944878642
SA-UNnetv2,CHASEDB1,154204,24.82308777035859,0,0.0,140045,22.543833667089498,148327,23.877033927226133,178636,28.756044635325782
SA-UNnetv2,DualModal2019,63609,5.258941415744829,0,0.0,39674,3.2800899515518296,650507,53.781354895249436,455750,37.67961373745391
SA-UNnetv2,HRF,1213552,8.6523428699194,0,0.0,3863655,27.546959496649865,2674936,19.071670127930833,6273561,44.7290275054999
SA-UNnetv2,LES,199997,19.8049578494662,0,0.0,266664,26.40674250098779,203161,20.118276982431748,340011,33.67002266711426
SA-UNnetv2,STARE,65543,34.11175068438967,22120,11.512319014062516,18852,9.811493582871002,16214,8.438550655244558,69413,36.125886063432255
