Model,Dataset,N,Mean F1,Mean Sensitivity,Mean Precision,Mean MCC,Mean IoU
DCP_1024,AFIO,99,0.6481845119508769,0.5243079911024514,0.8588970273616535,0.6492958097792426,0.48056228135382123
DCP_1024,CHASEDB1,28,0.8073429765365175,0.8729720957823969,0.7532330543725937,0.7952857086118473,0.6777657675920857
DCP_1024,DualModal2019,30,0.7459522398069898,0.9380029624481344,0.6212912108731389,0.7440338787285967,0.5966341093251859
DCP_1024,HRF,45,0.7533338515233481,0.8019658211837348,0.7166650190521392,0.7354075080414703,0.6061880263150848
DCP_1024,LES,22,0.8247293393004006,0.8772836490101014,0.7806376836108014,0.8140908498664673,0.7026823373651881
DCP_1024,STARE,20,0.805432433536996,0.7891606407078776,0.8246869561683565,0.7908264959186658,0.6751307719566535
FRUnet,AFIO,99,0.658894271048991,0.5629876182467028,0.8016975051973951,0.6480392910620173,0.4921755015115755
FRUnet,CHASEDB1,28,0.764159746503353,0.8274488164802031,0.7127813048470423,0.7487708593793672,0.6192081174249368
FRUnet,DualModal2019,30,0.7266766809566272,0.9420453887218477,0.5933678308082999,0.7267894105098932,0.5725278741721137
FRUnet,HRF,45,0.6834074271221907,0.7625670516258825,0.6242701210598791,0.6602945799047407,0.5205372336617416
FRUnet,LES,22,0.7842035403663697,0.8328526400300521,0.7429931761822217,0.7701897548299872,0.6458793905637388
FRUnet,STARE,20,0.7583555499276353,0.7650148311707697,0.762780680409632,0.7419189864522174,0.6128716115137741
FSG-Net-HRF,AFIO,99,0.6752537167766366,0.5590451382456785,0.8589351817886819,0.6721474906081426,0.5108930271567774
FSG-Net-HRF,CHASEDB1,28,0.7927292653605933,0.8438994947408283,0.7505141929268475,0.7789529242133123,0.6579529813078748
FSG-Net-HRF,DualModal2019,30,0.727955964021704,0.9449154526616945,0.5936287928826433,0.72832416599085,0.5736080559613747
FSG-Net-HRF,HRF,45,0.7947712890107438,0.8038898312941786,0.7909416737281766,0.7794466019377778,0.6612074477927685
FSG-Net-HRF,LES,22,0.835159121264078,0.8735162772426118,0.801411099830894,0.8244012549166203,0.7181942869295809
FSG-Net-HRF,STARE,20,0.8166750287837082,0.779224627680127,0.867402014116003,0.8065367915832289,0.6928695461867559
GAVE,AFIO,99,0.6448186162749113,0.5332674810782384,0.8257689652642866,0.6402691270347785,0.47743459641103847
GAVE,CHASEDB1,28,0.7536169294217449,0.7646096740721088,0.751430871048641,0.7377583907820436,0.6056091642790901
GAVE,DualModal2019,30,0.697821454660992,0.9194101638504116,0.5641107952226824,0.6967505276850593,0.5374705992076623
GAVE,HRF,45,0.7787315279990076,0.794580287058414,0.7682429553559205,0.7618818556807826,0.6392878658552359
GAVE,LES,22,0.8004312439990613,0.8291963421001944,0.776034578291362,0.787168781564267,0.6682850145994723
GAVE,STARE,20,0.787766858134716,0.7932008836752399,0.7885812753056206,0.7724225420796695,0.6518020462550282
SA-UNnetv2,AFIO,99,0.6689432385303321,0.557890257028109,0.8420802418050607,0.663720172578043,0.5033452716133081
SA-UNnetv2,CHASEDB1,28,0.800065982564216,0.843322537108045,0.7631522233125027,0.7863376113469548,0.6675269146887234
SA-UNnetv2,DualModal2019,30,0.7474591841715071,0.9485944788538044,0.6186887826583259,0.746982696281724,0.5986525165686175
SA-UNnetv2,HRF,45,0.7494995294799623,0.8226342827660693,0.6932125265091199,0.7319770713652259,0.6015287384969145
SA-UNnetv2,LES,22,0.8340672587133056,0.872534333982138,0.8015610063129859,0.8236787409525792,0.7164537278218782
SA-UNnetv2,STARE,20,0.8056651621838592,0.8362215778301115,0.7792180462585729,0.7903294482592957,0.676501948161129
