Model,Dataset,N,mean_Sensitivity,sd_Sensitivity,min_Sensitivity,max_Sensitivity,mean_Precision,sd_Precision,min_Precision,max_Precision,mean_F1,sd_F1,min_F1,max_F1,mean_IoU,sd_IoU,min_IoU,max_IoU,mean_MCC,sd_MCC,min_MCC,max_MCC
DCP_1024,AFIO,99,0.5243079911024514,0.050135878645599735,0.40148071979434446,0.6591953366098983,0.8588970273616535,0.0597161008921734,0.6357921438155985,0.9437925603886166,0.6481845119508769,0.03664956937865617,0.5308497620666213,0.7240749178167423,0.48056228135382123,0.03951504104960199,0.3613311616199008,0.5674901512068131,0.6492958097792426,0.03325615057044274,0.5409920636289522,0.7163796275743834
DCP_1024,CHASEDB1,28,0.8729720957823969,0.023186940078084937,0.8170721649484536,0.9142628048422741,0.7532330543725937,0.05070914518631679,0.6570273436024031,0.8367319541958089,0.8073429765365175,0.026718348130071352,0.7518448057188978,0.8479901543807576,0.6777657675920857,0.03740329042878123,0.6023648414586268,0.7360962734870861,0.7952857086118473,0.02580373644353776,0.7419284054150979,0.8337219367560595
DCP_1024,DualModal2019,30,0.9380029624481344,0.01574718793218978,0.8980299959464937,0.9644321460509221,0.6212912108731389,0.057060299335051586,0.5099975909419417,0.7423497131454228,0.7459522398069898,0.04236110515284331,0.6603985639879518,0.8235365738921572,0.5966341093251859,0.05327321146851176,0.49298137956162386,0.700010349337172,0.7440338787285967,0.03749032416143799,0.664676480369546,0.8129460940793848
DCP_1024,HRF,45,0.8019658211837348,0.03989551566594028,0.6683652498681157,0.866782586998729,0.7166650190521392,0.08173409182381347,0.5521272164797675,0.862348461909408,0.7533338515233481,0.04269618233390481,0.6645027360042858,0.8383828278313685,0.6061880263150848,0.05578324972867254,0.497569522543341,0.7217376326024739,0.7354075080414703,0.04233303733227995,0.653123836890889,0.8199472650230439
DCP_1024,LES,22,0.8772836490101014,0.029703729996530974,0.7958825026894303,0.9239366608979392,0.7806376836108014,0.050920402712079496,0.6523603023169372,0.8495684707916586,0.8247293393004006,0.02806611499195832,0.742589373547757,0.8656530463254806,0.7026823373651881,0.03966206461161854,0.5905703021159897,0.7631289911092441,0.8140908498664673,0.027048701325070194,0.7342992539303349,0.851546537581433
DCP_1024,STARE,20,0.7891606407078776,0.04582623645065655,0.6777512342729735,0.8667216268205551,0.8246869561683565,0.03318090249317817,0.7660170314911128,0.8740812985474938,0.805432433536996,0.027732294888803122,0.740001391110802,0.8438472532022601,0.6751307719566535,0.038122680030983604,0.5873033397736682,0.7298752310536044,0.7908264959186658,0.02811922740480592,0.7247568059678562,0.8290210918736154
FRUnet,AFIO,99,0.5629876182467028,0.045750760530479016,0.3820554285395639,0.704034746828209,0.8016975051973951,0.05887277990826316,0.5734755328774641,0.8917387018501668,0.658894271048991,0.03280906135602596,0.5059781846110671,0.7299454468242648,0.4921755015115755,0.03555154417232373,0.3386685384372034,0.574735506438725,0.6480392910620173,0.03159944743477434,0.5155824729983819,0.7183783155714952
FRUnet,CHASEDB1,28,0.8274488164802031,0.030323627814225356,0.740645078386019,0.869664396488061,0.7127813048470423,0.05298888977815346,0.621561291140846,0.8098298832856199,0.764159746503353,0.02883161638470556,0.7069659904534606,0.8088168584271517,0.6192081174249368,0.037558042669790105,0.5467497260194959,0.6790029427038256,0.7487708593793672,0.02754564878328219,0.6928906014670224,0.7931252840965249
FRUnet,DualModal2019,30,0.9420453887218477,0.02446642849218206,0.8312930685042562,0.9700339143199419,0.5933678308082999,0.054694627991848634,0.4880856552647147,0.698584635825137,0.7266766809566272,0.04387768675741951,0.6366531935105334,0.801859716382661,0.5725278741721137,0.0532799281658053,0.4669781676093669,0.6692536152459074,0.7267894105098932,0.039184771134998984,0.6285761029925372,0.7932142666449052
FRUnet,HRF,45,0.7625670516258825,0.043257489933172334,0.6193932999550137,0.8251308002401578,0.6242701210598791,0.06900892729079695,0.501350363329802,0.7487200183899398,0.6834074271221907,0.04055554304510749,0.5997875161008264,0.7703740423412982,0.5205372336617416,0.04756401290497094,0.428354641168887,0.6265108812505448,0.6602945799047407,0.038745778673282286,0.5663173099303763,0.7429851843681144
