Model,Dataset,model_centered_macro_f1
DCP_1024,AFIO,-0.11597804682497792
DCP_1024,CHASEDB1,0.043180417760662726
DCP_1024,DualModal2019,-0.018210318968865047
DCP_1024,HRF,-0.01082870725250673
DCP_1024,LES,0.06056678052454578
DCP_1024,STARE,0.04126987476114119
FRUnet,AFIO,-0.07038859827187016
FRUnet,CHASEDB1,0.03487687718249188
FRUnet,DualModal2019,-0.0026061883642339856
FRUnet,HRF,-0.04587544219867046
FRUnet,LES,0.05492067104550857
FRUnet,STARE,0.02907268060677415
FSG-Net-HRF,AFIO,-0.09850368075960725
FSG-Net-HRF,CHASEDB1,0.018971867824349453
FSG-Net-HRF,DualModal2019,-0.0458014335145398
FSG-Net-HRF,HRF,0.021013891474499946
FSG-Net-HRF,LES,0.061401723727834145
FSG-Net-HRF,STARE,0.042917631247464394
GAVE,AFIO,-0.09904582214016078
GAVE,CHASEDB1,0.009752491006672748
GAVE,DualModal2019,-0.04604298375408011
GAVE,HRF,0.03486708958393547
GAVE,LES,0.05656680558398919
GAVE,STARE,0.043902419719643926
SA-UNnetv2,AFIO,-0.09867348741019821
SA-UNnetv2,CHASEDB1,0.032449256623685696
SA-UNnetv2,DualModal2019,-0.02015754176902318
SA-UNnetv2,HRF,-0.018117196460567975
SA-UNnetv2,LES,0.06645053277277524
SA-UNnetv2,STARE,0.038048436243328876
