Model,Dataset,N,mean_thin_vessel_sensitivity_proxy,sd_thin_vessel_sensitivity_proxy
DCP_1024,AFIO,99,0.4565229815134267,0.2325195756058466
DCP_1024,CHASEDB1,28,0.5397511851679476,0.08099967895374231
DCP_1024,DualModal2019,30,0.7747474714839595,0.051477184257625264
DCP_1024,HRF,45,0.4277601414582527,0.08650751533642155
DCP_1024,LES,22,0.5359509227639087,0.12924177806143106
DCP_1024,STARE,20,0.5169223291868207,0.31067675868878836
FRUnet,AFIO,99,0.4892981541888188,0.23382597717971423
FRUnet,CHASEDB1,28,0.44353490715055377,0.06979576057641414
FRUnet,DualModal2019,30,0.8169068301572775,0.040285359211816
FRUnet,HRF,45,0.35332685844277073,0.09534815823789193
FRUnet,LES,22,0.4254699773571771,0.12671164020502365
FRUnet,STARE,20,0.4233093605494374,0.27381021877713174
FSG-Net-HRF,AFIO,99,0.4673110877006375,0.22727326880873785
FSG-Net-HRF,CHASEDB1,28,0.5339783467438155,0.0797411129811817
FSG-Net-HRF,DualModal2019,30,0.787699192528058,0.057030860128725276
FSG-Net-HRF,HRF,45,0.46123080812698203,0.10442486054271877
FSG-Net-HRF,LES,22,0.5492400437376519,0.12826720907030603
FSG-Net-HRF,STARE,20,0.5127912904842457,0.3186677232326554
GAVE,AFIO,99,0.4013689120845934,0.21521699491664037
GAVE,CHASEDB1,28,0.20303455625651315,0.06446661888844465
GAVE,DualModal2019,30,0.588036874155304,0.08619760860971665
GAVE,HRF,45,0.41574089724204644,0.09570947127404444
GAVE,LES,22,0.42853924648875685,0.10853383368126575
GAVE,STARE,20,0.3652304453932465,0.25109899995089713
SA-UNnetv2,AFIO,99,0.507812197371873,0.23928808317621872
SA-UNnetv2,CHASEDB1,28,0.5703150023423167,0.08799604142643175
SA-UNnetv2,DualModal2019,30,0.847943892362606,0.03950278331734925
SA-UNnetv2,HRF,45,0.474750453647008,0.0878064728058759
SA-UNnetv2,LES,22,0.5793683461606739,0.13058568324177558
SA-UNnetv2,STARE,20,0.585645753431514,0.34456258394709505
