Model,Dataset,N,Macro_clDice,SD_clDice,Macro_SkeletonF1_r2,SD_SkeletonF1_r2
FSG-Net-HRF,AFIO,99,0.7434831929181117,0.05046214026710098,0.6536919836766408,0.06648425461326533
FSG-Net-HRF,CHASEDB1,28,0.8237588897113621,0.03728726775860344,0.8132946972643574,0.039069682799851936
FSG-Net-HRF,DualModal2019,30,0.8427987744980757,0.030932720668807097,0.8706785724635898,0.03038053923218574
FSG-Net-HRF,HRF,45,0.7878993513104335,0.06442993163791255,0.681863286832483,0.09643823280151698
FSG-Net-HRF,LES,22,0.8534059375249161,0.043319338655871856,0.7854105243978086,0.0581306532009899
FSG-Net-HRF,STARE,20,0.862670726462806,0.027613802160999363,0.9122782996225848,0.029777885391182545
DCP_1024,AFIO,99,0.716012302130597,0.04861643745771209,0.633821900631913,0.06683941745267054
DCP_1024,CHASEDB1,28,0.8407606070078562,0.02659436426365027,0.8256311560838036,0.02846578842216679
DCP_1024,DualModal2019,30,0.8241556142843856,0.03534840925155897,0.8602141085982229,0.03431901135779602
DCP_1024,HRF,45,0.7622808828078691,0.06261531488245323,0.5404216397127614,0.0889180716853429
DCP_1024,LES,22,0.8522892745968381,0.039804634247670674,0.7471939047556115,0.058016267632444225
DCP_1024,STARE,20,0.8566221675935417,0.024386105091218732,0.9099577025059897,0.02714627997233166
SA-UNnetv2,AFIO,99,0.7437018962449672,0.04668589453902084,0.6434555568894355,0.0618216381996906
SA-UNnetv2,CHASEDB1,28,0.8264253801995035,0.02853569394868354,0.8234268037941981,0.03183399970665177
SA-UNnetv2,DualModal2019,30,0.8356379780259987,0.033589334869206865,0.8770990889722268,0.031088667259761952
SA-UNnetv2,HRF,45,0.7749798288720435,0.0592699361319202,0.5689611613100647,0.09150775220818204
SA-UNnetv2,LES,22,0.8520305340249159,0.04150377949385915,0.7706504394391014,0.05680107415820344
SA-UNnetv2,STARE,20,0.8458494215686075,0.03704281517552046,0.8868365501393024,0.04261569100225356
GAVE,AFIO,99,0.688152434561527,0.05402041455221731,0.5943313494240334,0.0664755767531444
GAVE,CHASEDB1,28,0.7530975752210489,0.0374149516009203,0.7241190834643743,0.03895837985699947
GAVE,DualModal2019,30,0.8336459931808211,0.03289932540296291,0.849282051279095,0.03358022121013994
GAVE,HRF,45,0.7739098277629026,0.06227081169379485,0.6957830624881155,0.08605269354368625
GAVE,LES,22,0.843447823161169,0.03634370072399738,0.7834231500024506,0.06288899789120615
GAVE,STARE,20,0.8324301405361458,0.045919466147281734,0.8682896275150881,0.05153893792749795
FRUnet,AFIO,99,0.7124099798561053,0.047845748033167095,0.58715542684378,0.056595719527841544
FRUnet,CHASEDB1,28,0.7788096886986412,0.030885549080377998,0.7750479561820972,0.028533735296383134
FRUnet,DualModal2019,30,0.8293451639189604,0.03523400005731129,0.8742348967476609,0.036858783895858185
FRUnet,HRF,45,0.6849216062194323,0.06324908773158523,0.3447527555563544,0.040958573963641
FRUnet,LES,22,0.8224336208614061,0.041962236452627304,0.6416996001800473,0.06255340212436108
FRUnet,STARE,20,0.8035906641286106,0.046144222261161105,0.8937484628575098,0.04636117814857339
