Model,Dataset,Image,clDice,SkeletonF1_r2,SkeletonMethod,PredictionSkeletonPixels,GTSkeletonPixels,PredictionPath,GTPath
FSG-Net,AFIO,IM000001,0.787255929033941,0.7036086088510738,skimage.morphology.skeletonize,13818,16917,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\AFIO\pred_masks\IM000001.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000001.png
FSG-Net,AFIO,IM000004,0.7909509275905837,0.7622954189695605,skimage.morphology.skeletonize,12182,14456,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\AFIO\pred_masks\IM000004.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000004.png
FSG-Net,AFIO,IM000023,0.6547192722433286,0.6056653034305622,skimage.morphology.skeletonize,8177,9796,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\AFIO\pred_masks\IM000023.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000023.png
FSG-Net,AFIO,IM000024,0.6791341540982303,0.629548165047058,skimage.morphology.skeletonize,9245,13209,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\AFIO\pred_masks\IM000024.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000024.png
FSG-Net,AFIO,IM000135,0.7059455450797082,0.6730305148314665,skimage.morphology.skeletonize,15857,25235,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\AFIO\pred_masks\IM000135.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000135.png
FSG-Net,AFIO,IM000136,0.8148967431001382,0.7483569354059917,skimage.morphology.skeletonize,15872,18592,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\AFIO\pred_masks\IM000136.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000136.png
FSG-Net,AFIO,IM000167,0.7544671782535595,0.710327810196976,skimage.morphology.skeletonize,11212,14133,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\AFIO\pred_masks\IM000167.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000167.png
FSG-Net,AFIO,IM000168,0.7568844253842527,0.7178453250572876,skimage.morphology.skeletonize,13782,17424,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\AFIO\pred_masks\IM000168.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000168.png
FSG-Net,AFIO,IM000189,0.6940710213144328,0.6359165773214861,skimage.morphology.skeletonize,12619,17549,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\AFIO\pred_masks\IM000189.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000189.png
FSG-Net,AFIO,IM000209,0.7780942091868166,0.733125275572884,skimage.morphology.skeletonize,10262,11828,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\AFIO\pred_masks\IM000209.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000209.png
FSG-Net,AFIO,IM000210,0.7390374909419524,0.6946452406147494,skimage.morphology.skeletonize,10975,14676,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\AFIO\pred_masks\IM000210.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000210.png
FSG-Net,AFIO,IM000333,0.7288148914326406,0.6511987391737136,skimage.morphology.skeletonize,10562,15204,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\AFIO\pred_masks\IM000333.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000333.png
FSG-Net,AFIO,IM000389,0.6973116011763281,0.6748252661907502,skimage.morphology.skeletonize,10324,14557,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\AFIO\pred_masks\IM000389.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000389.png
FSG-Net,AFIO,IM000390,0.7448798609684896,0.6808532644716435,skimage.morphology.skeletonize,12084,16216,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\AFIO\pred_masks\IM000390.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM000390.png
