Model,ModelFolder,Dataset,GT_count,Prediction_count,Matched_count,PredictionRoot
FSG-Net,FSG-Net-HRF,AFIO,99,99,99,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\AFIO\pred_masks
FSG-Net,FSG-Net-HRF,CHASEDB1,28,28,28,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\CHASEDB1\pred_masks
FSG-Net,FSG-Net-HRF,DualModal2019,30,30,30,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\DualModal2019\pred_masks
FSG-Net,FSG-Net-HRF,HRF,45,45,45,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\HRF\pred_masks
FSG-Net,FSG-Net-HRF,LES,22,22,22,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\LES\pred_masks
FSG-Net,FSG-Net-HRF,STARE,20,20,20,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FSG-Net-HRF\test_data\STARE\pred_masks
DCP_1024,DCP_1024,AFIO,99,99,99,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks
DCP_1024,DCP_1024,CHASEDB1,28,28,28,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\CHASEDB1\pred_masks
DCP_1024,DCP_1024,DualModal2019,30,30,30,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\DualModal2019\pred_masks
DCP_1024,DCP_1024,HRF,45,45,45,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\HRF\pred_masks
DCP_1024,DCP_1024,LES,22,22,22,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\LES\pred_masks
DCP_1024,DCP_1024,STARE,20,20,20,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\STARE\pred_masks
SA-UNetv2,SA-UNnetv2,AFIO,99,99,99,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\SA-UNnetv2\test_data\AFIO\pred_masks
SA-UNetv2,SA-UNnetv2,CHASEDB1,28,28,28,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\SA-UNnetv2\test_data\CHASEDB1\pred_masks
SA-UNetv2,SA-UNnetv2,DualModal2019,30,30,30,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\SA-UNnetv2\test_data\DualModal2019\pred_masks
SA-UNetv2,SA-UNnetv2,HRF,45,45,45,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\SA-UNnetv2\test_data\HRF\pred_masks
SA-UNetv2,SA-UNnetv2,LES,22,22,22,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\SA-UNnetv2\test_data\LES\pred_masks
SA-UNetv2,SA-UNnetv2,STARE,20,20,20,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\SA-UNnetv2\test_data\STARE\pred_masks
GAVE,gave,AFIO,99,99,99,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\gave\test_data\AFIO\pred_masks
GAVE,gave,CHASEDB1,28,28,28,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\gave\test_data\CHASEDB1\pred_masks
GAVE,gave,DualModal2019,30,30,30,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\gave\test_data\DualModal2019\pred_masks
GAVE,gave,HRF,45,45,45,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\gave\test_data\HRF\pred_masks
GAVE,gave,LES,22,22,22,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\gave\test_data\LES\pred_masks
GAVE,gave,STARE,20,20,20,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\gave\test_data\STARE\pred_masks
FRUnet,FRUnet,AFIO,99,99,99,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FRUnet\test_data\AFIO\pred_masks
FRUnet,FRUnet,CHASEDB1,28,28,28,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FRUnet\test_data\CHASEDB1\pred_masks
FRUnet,FRUnet,DualModal2019,30,30,30,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FRUnet\test_data\DualModal2019\pred_masks
FRUnet,FRUnet,HRF,45,45,45,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FRUnet\test_data\HRF\pred_masks
FRUnet,FRUnet,LES,22,22,22,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FRUnet\test_data\LES\pred_masks
FRUnet,FRUnet,STARE,20,20,20,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\FRUnet\test_data\STARE\pred_masks
