Model,error_component,share_percent
DCP_1024,Boundary shift,11.180084811936783
DCP_1024,Too thick,13.876608771895125
DCP_1024,Extra vessel,30.767730331584193
FRUnet,Boundary shift,10.102234250257736
FRUnet,Too thick,11.883602802273925
FRUnet,Extra vessel,40.817657360144594
FSG-Net-HRF,Boundary shift,13.70349993382585
FSG-Net-HRF,Too thick,14.25442624466789
FSG-Net-HRF,Extra vessel,23.110314429018892
GAVE,Boundary shift,12.755653458746377
GAVE,Too thick,13.267574075398937
GAVE,Extra vessel,25.903658879166596
SA-UNnetv2,Boundary shift,10.393211439839847
SA-UNnetv2,Too thick,16.153981752472955
SA-UNnetv2,Extra vessel,34.20175013277687
