model,dataset,clDice_macro,clDice_sd_image,SkeletonF1_r2_macro,SkeletonF1_r2_sd_image
DCP-1024,AFIO,0.704284943234,0.0489878393219,0.63066589951,0.0665169730339
FR-UNet,AFIO,0.712854387898,0.0478576650415,0.587255789659,0.0565969742542
FSG-Net,AFIO,0.76668030923,0.0447461960968,0.662702036173,0.0645315190203
GAVE,AFIO,0.683671359806,0.0564012091851,0.605839176621,0.0623668262556
SA-UNetv2,AFIO,0.773211805499,0.047023314173,0.644628813793,0.0624114819341
DCP-1024,CHASEDB1,0.838788179818,0.0266516087982,0.825083329505,0.0282040487922
FR-UNet,CHASEDB1,0.779255900231,0.0307385167597,0.77504123881,0.0285874592642
FSG-Net,CHASEDB1,0.82784361758,0.0295202633815,0.807800083866,0.0332450804543
GAVE,CHASEDB1,0.747914260854,0.0270761325912,0.728829726856,0.0342406311232
SA-UNetv2,CHASEDB1,0.832436195914,0.0280629615394,0.822650598843,0.031208296182
DCP-1024,DualModal2019,0.825274280005,0.0353163373063,0.862923821384,0.0339533551248
FR-UNet,DualModal2019,0.829307209553,0.0352415116565,0.874190567697,0.0368636057116
FSG-Net,DualModal2019,0.835705089725,0.0349774931803,0.872331050712,0.033732594735
GAVE,DualModal2019,0.786014266804,0.0321125661432,0.817659992235,0.0281278829474
SA-UNetv2,DualModal2019,0.83195055195,0.0344724504779,0.872601555193,0.0318449701507
DCP-1024,HRF,0.753632519533,0.0627598205558,0.535952697705,0.0893019222811
FR-UNet,HRF,0.685255386999,0.0632636392996,0.344911209197,0.0409679177694
FSG-Net,HRF,0.791472218185,0.0572516008214,0.632820444167,0.0794664708589
GAVE,HRF,0.765541569149,0.0628137724354,0.706013021441,0.0841381573857
SA-UNetv2,HRF,0.785408604423,0.057462877021,0.567722218808,0.0907853495114
DCP-1024,LES,0.850406956004,0.0389988393756,0.749094127565,0.0574433334862
FR-UNet,LES,0.789773388901,0.0422424878643,0.650763827649,0.0634420605277
FSG-Net,LES,0.859533082772,0.0457858976477,0.77144528866,0.0550387771567
GAVE,LES,0.817080696689,0.0347663845193,0.755787186184,0.0572892755172
SA-UNetv2,LES,0.856548571302,0.0427505612062,0.765539614537,0.0568831908195
DCP-1024,STARE,0.856868007275,0.0233577629506,0.913478653801,0.0255744088685
FR-UNet,STARE,0.803756773325,0.0460255714692,0.893726694054,0.0462426736202
FSG-Net,STARE,0.870529334532,0.0166124835807,0.90932220518,0.0240124213234
GAVE,STARE,0.770052591558,0.0313310536078,0.803906990831,0.0356067029702
SA-UNetv2,STARE,0.84561545393,0.0385921367786,0.878747211672,0.043413281395
