model,dataset,Boundary shift,Too thin,Missed vessel,Too thick,Extra vessel,FN_pixels,FP_pixels
DCP-1024,AFIO,527604,1341580,4089980,203,345668,5959164,873475
FR-UNet,AFIO,838001,773442,3629895,14858,753206,5241338,1606065
FSG-Net,AFIO,766581,963546,3046592,12805,660788,4776719,1440174
GAVE,AFIO,765131,799138,3758996,12112,938472,5323265,1715715
SA-UNetv2,AFIO,871988,726371,2974297,19997,734885,4572656,1626870
DCP-1024,CHASEDB1,141763,0,118283,174316,168957,260046,485036
FR-UNet,CHASEDB1,163939,0,158237,183255,270675,322176,617869
FSG-Net,CHASEDB1,96822,0,150177,282233,249283,246999,628338
GAVE,CHASEDB1,129646,0,230264,185778,308801,359910,624225
SA-UNetv2,CHASEDB1,115509,0,117853,255167,243586,233362,614262
DCP-1024,DualModal2019,89586,0,50309,554147,429285,139895,1073018
FR-UNet,DualModal2019,69688,0,46104,667457,559528,115792,1296673
FSG-Net,DualModal2019,43713,0,35486,738811,569292,79199,1351816
GAVE,DualModal2019,54855,0,69202,717220,853067,124057,1625142
SA-UNetv2,DualModal2019,56418,0,34772,686129,507718,91190,1250265
DCP-1024,HRF,1577418,64136,4594160,1631649,4704992,6235714,7914059
FR-UNet,HRF,1456938,0,5312852,2194738,9275097,6769790,12926773
FSG-Net,HRF,1255833,9194,3167614,2765947,5741233,4432641,9763013
GAVE,HRF,1842708,218034,3905152,1175331,3629476,5965894,6647515
SA-UNetv2,HRF,725008,0,3250306,3998918,9221201,3975314,13945127
DCP-1024,LES,195918,0,289451,220111,365943,485369,781972
FR-UNet,LES,290149,26718,589292,21013,273144,906159,584306
FSG-Net,LES,143683,0,226812,362089,511694,370495,1017466
GAVE,LES,177632,0,342219,299146,532896,519851,1009674
SA-UNetv2,LES,138791,0,220290,377483,485570,359081,1001844
DCP-1024,STARE,66317,48432,32631,936,24614,147380,91867
FR-UNet,STARE,87607,16939,41847,26221,45916,146393,159744
FSG-Net,STARE,54223,15927,18531,37551,43607,88681,135381
GAVE,STARE,53385,4108,31748,96806,167073,89241,317264
SA-UNetv2,STARE,54242,8055,14711,59799,90272,77008,204313
