"model","dataset","image_id","f1","f2","tvs","structural_utility"
"DCP-1024","AFIO","IM000001","0.625279811728","0.521713985037","0.448979591837","0.711696259619"
"FR-UNet","AFIO","IM000001","0.661928882198","0.581236415783","0.387755102041","0.70400140928"
"FSG-Net","AFIO","IM000001","0.693628327628","0.608602478346","0.551020408163","0.773539196211"
"GAVE","AFIO","IM000001","0.680750112969","0.61835932919","0.551020408163","0.712269332775"
"SA-UNetv2","AFIO","IM000001","0.719965456265","0.646054313523","0.510204081633","0.790713620823"
"DCP-1024","AFIO","IM000004","0.714742505569","0.667942254976","0.261802575107","0.743605636522"
"FR-UNet","AFIO","IM000004","0.705807596531","0.705093159177","0.304721030043","0.730186133536"
"FSG-Net","AFIO","IM000004","0.751144428926","0.75226372221","0.523605150215","0.801039228757"
"GAVE","AFIO","IM000004","0.700390431674","0.716634407634","0.343347639485","0.713178394174"
"SA-UNetv2","AFIO","IM000004","0.746625424896","0.766753618764","0.502145922747","0.798554798622"
"DCP-1024","AFIO","IM000023","0.625383561881","0.58945985516","0.243386243386","0.601228788574"
"FR-UNet","AFIO","IM000023","0.642014581332","0.632132738495","0.296296296296","0.631750411495"
"FSG-Net","AFIO","IM000023","0.669084558014","0.669160366848","0.31746031746","0.653785047621"
"GAVE","AFIO","IM000023","0.634477652534","0.650035604817","0.380952380952","0.614294015502"
"SA-UNetv2","AFIO","IM000023","0.647711077352","0.64959727074","0.380952380952","0.645513922613"
"DCP-1024","AFIO","IM000024","0.637250305513","0.580544694772","0.195555555556","0.627143488097"
"FR-UNet","AFIO","IM000024","0.626095362179","0.604429044404","0.248888888889","0.617075638148"
"FSG-Net","AFIO","IM000024","0.680603598852","0.666097295442","0.311111111111","0.686377308073"
"GAVE","AFIO","IM000024","0.630939256598","0.619943243973","0.222222222222","0.611336062572"
"SA-UNetv2","AFIO","IM000024","0.666387168321","0.657303925361","0.284444444444","0.672393198137"
"DCP-1024","AFIO","IM000135","0.634977601632","0.537650628749","0.132107023411","0.640773576277"
"FR-UNet","AFIO","IM000135","0.667687417177","0.604070215507","0.173913043478","0.646120253582"
"FSG-Net","AFIO","IM000135","0.712448900887","0.647711702413","0.210702341137","0.708003141802"
"GAVE","AFIO","IM000135","0.69924682512","0.65644672482","0.255852842809","0.665668882678"
"SA-UNetv2","AFIO","IM000135","0.70333393978","0.646491715825","0.210702341137","0.698609069438"
"DCP-1024","AFIO","IM000136","0.623520858404","0.518156628263","0.230769230769","0.730711564189"
"FR-UNet","AFIO","IM000136","0.686803587667","0.61023822679","0.384615384615","0.751826159715"
"FSG-Net","AFIO","IM000136","0.724195419232","0.648296290756","0.576923076923","0.815433114569"
"GAVE","AFIO","IM000136","0.706386253623","0.647212487298","0.307692307692","0.755651839527"
"SA-UNetv2","AFIO","IM000136","0.734395619976","0.668259840894","0.5","0.821600945828"
"DCP-1024","AFIO","IM000167","0.678496342756","0.600779896913","0.548387096774","0.725137137351"
"FR-UNet","AFIO","IM000167","0.692779478402","0.63954995908","0.483870967742","0.723391520138"
"FSG-Net","AFIO","IM000167","0.734086214759","0.687238449592","0.677419354839","0.78023338325"
"GAVE","AFIO","IM000167","0.684047643396","0.639106516076","0.41935483871","0.715512285513"
"SA-UNetv2","AFIO","IM000167","0.733569519284","0.691704506811","0.677419354839","0.782576009885"
"DCP-1024","AFIO","IM000168","0.686589203336","0.614663827087","0.146739130435","0.714368895398"
"FR-UNet","AFIO","IM000168","0.692605316858","0.651171404924","0.163043478261","0.701948720088"
"FSG-Net","AFIO","IM000168","0.737974335941","0.699227549273","0.222826086957","0.771850905318"
"GAVE","AFIO","IM000168","0.714355641978","0.691950731048","0.255434782609","0.722163436114"
"SA-UNetv2","AFIO","IM000168","0.733033355158","0.69554083325","0.201086956522","0.770596248066"
"DCP-1024","AFIO","IM000189","0.654145661707","0.575526467619","0.297297297297","0.653785151282"
"FR-UNet","AFIO","IM000189","0.66996989522","0.623074893732","0.358108108108","0.64913737804"
"FSG-Net","AFIO","IM000189","0.711569680462","0.675237633315","0.445945945946","0.712898695573"
"GAVE","AFIO","IM000189","0.636849381251","0.585462771263","0.22972972973","0.595832287393"
"SA-UNetv2","AFIO","IM000189","0.7115744597","0.681664521665","0.493243243243","0.708239125561"
"DCP-1024","AFIO","IM000209","0.699137013831","0.626576756245","0.121621621622","0.741425597568"
"FR-UNet","AFIO","IM000209","0.692145087367","0.649649297381","0.202702702703","0.694905376473"
"FSG-Net","AFIO","IM000209","0.749857761286","0.723396740622","0.27027027027","0.791404018418"
"GAVE","AFIO","IM000209","0.676537918918","0.623532586695","0.135135135135","0.676289263045"
"SA-UNetv2","AFIO","IM000209","0.743494154255","0.727529431797","0.324324324324","0.779732045809"
"DCP-1024","AFIO","IM000210","0.659058314091","0.572301786051","0.180043383948","0.691226887191"
"FR-UNet","AFIO","IM000210","0.669084343725","0.605949548371","0.225596529284","0.680141942502"
"FSG-Net","AFIO","IM000210","0.71861103554","0.670730130824","0.330802603037","0.753185233124"
"GAVE","AFIO","IM000210","0.614120288114","0.526878660829","0.0965292841649","0.629310943955"
"SA-UNetv2","AFIO","IM000210","0.714105184176","0.667377123297","0.302603036876","0.74176498745"
"DCP-1024","AFIO","IM000333","0.612858010044","0.514910979228","0.268292682927","0.650929609443"
"FR-UNet","AFIO","IM000333","0.666230926112","0.603624382208","0.536585365854","0.675861575013"
