model,dataset,TVS_macro,TVS_sd_image
DCP-1024,AFIO,0.432482799933,0.227175422879
FR-UNet,AFIO,0.49018649831,0.235771503005
FSG-Net,AFIO,0.50900959225,0.217823286904
GAVE,AFIO,0.439573606887,0.208656400375
SA-UNetv2,AFIO,0.54093853662,0.232006396018
DCP-1024,CHASEDB1,0.512616278909,0.0821327134161
FR-UNet,CHASEDB1,0.444951814809,0.0711781924579
FSG-Net,CHASEDB1,0.572948242269,0.0782314501433
GAVE,CHASEDB1,0.348871868252,0.0881056614598
SA-UNetv2,CHASEDB1,0.619777227702,0.0874817732154
DCP-1024,DualModal2019,0.751832535691,0.0552908855163
FR-UNet,DualModal2019,0.817330966203,0.0408961560292
FSG-Net,DualModal2019,0.843973833091,0.0429069730979
GAVE,DualModal2019,0.731852118634,0.0729798466862
SA-UNetv2,DualModal2019,0.864053542449,0.0382953788487
DCP-1024,HRF,0.395636326833,0.0857363936712
FR-UNet,HRF,0.354069405466,0.0965627567633
FSG-Net,HRF,0.533772603643,0.089055822641
GAVE,HRF,0.450096907987,0.100583988131
SA-UNetv2,HRF,0.516189333444,0.0902744929697
DCP-1024,LES,0.512570046469,0.131261787939
FR-UNet,LES,0.292844395741,0.10342885848
FSG-Net,LES,0.625578765327,0.129551785036
GAVE,LES,0.521485146221,0.112633192374
SA-UNetv2,LES,0.632809454971,0.136343234829
DCP-1024,STARE,0.483201872357,0.300990967147
FR-UNet,STARE,0.424252697412,0.281427066327
FSG-Net,STARE,0.605348415126,0.367166233568
GAVE,STARE,0.548944008022,0.344362319314
SA-UNetv2,STARE,0.631667953896,0.379064963953
